box_score_id,game_id,player_id,team_id,pts,reb,ast,blk,stl,turnover,oreb,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,pf
14479029,1038453,38017656,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479030,1038453,401,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479031,1038453,420,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479032,1038453,56677850,25,4,7,1,0,1,0,2,5,0,0,0,'0.4',5,2,0,0,0,21,1
14479033,1038453,182,25,10,2,5,0,0,1,0,2,'0.4',5,2,'0.4',10,4,0,0,0,33,1
14479034,1038453,56783340,25,18,5,1,2,2,1,3,2,'0.25',8,2,'0.5',16,8,0,1,0,23,3
14479035,1038453,56677791,25,14,2,2,0,3,0,1,1,'0.667',3,2,'0.625',8,5,1,2,2,24,1
14479036,1038453,419,25,7,5,8,0,0,2,2,3,'0.25',4,1,'0.3333333',9,3,0,0,0,26,0
14479037,1038453,39613724,25,0,0,0,0,0,0,0,0,NULL,0,0,NULL,0,0,NULL,0,0,4,2
14479038,1038453,17896094,25,19,7,3,2,1,1,2,5,'0.6',5,3,'0.5333334',15,8,0,0,0,20,1
14479039,1038453,666476,25,7,1,0,0,0,1,0,1,0,0,0,1,3,3,'0.3333333',3,1,08,1
14479040,1038453,3547278,25,6,2,5,3,1,1,1,1,NULL,0,0,'0.4',5,2,1,2,2,24,4
14479041,1038453,56677829,25,5,2,2,0,0,1,1,1,1,1,1,'0.5',2,1,1,2,2,7,1
14479042,1038453,666923,25,13,3,2,0,3,4,1,2,'0.25',4,1,'0.5',10,5,1,2,2,26,2
14479043,1038453,38017711,25,19,10,2,1,2,2,3,7,1,1,1,'0.778',9,7,1,4,4,22,3
14479044,1038453,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479045,1038453,65,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479046,1038453,56677747,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479047,1038453,47957121,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479048,1038453,38017690,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479049,1038453,476,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479050,1038454,3547259,18,26,7,1,0,0,1,1,6,'0.714',7,5,'0.818',11,9,'0.75',4,3,45,5
14479051,1038454,447,18,19,6,5,0,1,3,2,4,'0.167',6,1,'0.412',17,7,'0.8',5,4,37,6
14479052,1038454,176,18,16,16,1,3,0,1,2,14,NULL,0,0,'0.667',9,6,'0.5',8,4,42,5
14479053,1038454,3547238,18,11,2,2,1,0,1,0,2,'0.3333333',3,1,'0.1818182',11,2,1,6,6,19,0
14479054,1038454,104,18,14,3,8,0,2,3,0,3,'0.333',3,1,'0.5',8,4,'0.833',6,5,36,3
14479055,1038454,666400,18,7,2,3,0,0,1,1,1,'0.5',4,2,'0.4',5,2,'0.5',2,1,25,0
14479056,1038454,17896056,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479057,1038454,235,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479058,1038454,666767,18,4,1,4,1,0,1,0,1,0,0,0,1,2,2,0,0,0,12,2
14479059,1038454,38017715,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479060,1038454,330,18,5,0,2,0,0,0,0,0,'0.5',2,1,'0.5',4,2,0,0,0,14,1
14479061,1038454,17895968,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479062,1038454,667378,18,18,7,3,0,1,1,2,5,'0.167',6,1,'0.444',18,8,1,1,1,36,0
14479063,1038454,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479064,1038454,56677851,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479065,1038454,56677782,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479066,1038454,38017700,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479067,1038454,30,26,14,2,0,0,1,1,0,2,'0.4',5,2,'0.5',12,6,0,2,0,38,3
14479068,1038454,38017688,26,17,5,1,1,2,1,1,4,'0.3333333',3,1,'0.4666667',15,7,1,2,2,41,1
14479069,1038454,406,26,21,15,8,3,0,1,5,10,'0.5',2,1,'0.5',14,7,'0.6',10,6,41,6
14479070,1038454,221,26,8,6,4,0,0,1,2,4,'0.286',7,2,'0.25',12,3,NULL,0,0,33,3
14479071,1038454,38017714,26,2,2,7,1,4,0,2,0,0,1,0,'0.5',2,1,0,0,0,18,4
14479072,1038454,17896030,26,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,06,1
14479073,1038454,17896044,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479074,1038454,3547291,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479075,1038454,273,26,4,2,1,0,0,0,1,1,0,0,0,'0.5',4,2,0,2,0,05,0
14479076,1038454,290,26,3,5,2,1,0,0,2,3,0,2,0,'0.333',3,1,'0.5',2,1,19,4
14479077,1038454,306,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479078,1038454,17553994,26,16,2,2,0,0,1,0,2,0,1,0,'0.875',8,7,1,2,2,25,4
14479079,1038454,324,26,39,4,4,0,1,2,0,4,'0.625',8,5,'0.552',29,16,'0.5',4,2,33,3
14479080,1038454,17895990,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479081,1038454,161,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479082,1038454,56677845,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479083,1038454,56677862,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479084,1038454,4197162,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14481288,1038456,125,5,12,4,9,1,0,0,1,3,0,0,0,'0.3846154',13,5,1,2,2,33,3
